column_name,display_name,alias,type,category,tag,description,default,dimension_table
year,,,BIGINT,,,,,
month,,,BIGINT,,,,,
province,,,TEXT,,,,,
crop,,,TEXT,,,,,
pest_name,,,TEXT,,,,,
temperature,,,FLOAT,,,,,
humidity,,,FLOAT,,,,,
rainfall,,,FLOAT,,,,,
risk_score,,,FLOAT,,,,,
severity,,,TEXT,,,,,
peak_month,,,TEXT,,,,,
condition,,,TEXT,,,,,
prevention,,,TEXT,,,,,
